MacroTrends Data Download,,
Gold Prices - 100 Year Historical Chart,,
Note: Real datasets are adjusted for inflation using the headline Consumer Price Index (CPI) with the current month as the base.,,
,,
"Disclaimer and Terms of Use: Historical data is provided 'as is' and solely for informational purposes, not for trading purposes or advice.",,
"MacroTrends LLC expressly disclaims the accuracy, adequacy, or completeness of any data and shall not be liable for any errors, omissions or other defects in, ",,
"delays or interruptions in such data, or for any actions taken in reliance thereon.  Neither MacroTrends LLC nor any of our information providers will be liable",,
for any damages relating to your use of the data provided.,,
,,
,,
date,real,nominal
2005-09-01,728.77,456.05
2005-10-01,749.49,469.9
2005-11-01,766.49,476.67
2005-12-01,823.3,510.1
2006-01-01,880.88,549.86
2006-02-01,887.45,555
2006-03-01,885.77,557.09
2006-04-01,963,610.65
2006-05-01,1059.69,675.39
2006-06-01,933.57,596.15
2006-07-01,989.22,633.71
2006-08-01,985.17,632.33
2006-09-01,936.56,598.06
2006-10-01,922.02,585.78
2006-11-01,990.09,627.83
2006-12-01,990.71,629.42
2007-01-01,990.31,631.17
2007-02-01,1037.67,664.75
2007-03-01,1013.13,654.9
2007-04-01,1044.19,679.37
2007-05-01,1019.05,666.92
2007-06-01,999.62,655.49
2007-07-01,1014.58,665.3
2007-08-01,1016.75,665.41
2007-09-01,1086.08,712.65
2007-10-01,1146.99,754.6
2007-11-01,1218.24,806.25
2007-12-01,1214.44,803.2
2008-01-01,1338.85,889.6
2008-02-01,1384.37,922.3
2008-03-01,1441.02,968.43
2008-04-01,1345.45,909.7
2008-05-01,1305.49,890.51
2008-06-01,1350.36,930
2008-07-01,1328.48,920
2008-08-01,1210.75,835
2008-09-01,1290.1,888.5
2008-10-01,1072.01,730.75
2008-11-01,1217.68,814.5
2008-12-01,1314.19,869.75
2009-01-01,1383.85,919.5
2009-02-01,1425.14,952
2009-03-01,1340.34,897.75
2009-04-01,1316.04,883.25
2009-05-01,1448.62,975.5
2009-06-01,1376.52,934.5
2009-07-01,1385.03,939
2009-08-01,1406.5,955.5
2009-09-01,1494.17,1015.75
2009-10-01,1527.76,1040
2009-11-01,1726,1175.75
2009-12-01,1599.71,1087.5
2010-01-01,1581.08,1078.5
2010-02-01,1624.69,1108.25
2010-03-01,1628.63,1115.5
2010-04-01,1718.17,1179.25
2010-05-01,1758.12,1207.5
2010-06-01,1798.67,1234.5
2010-07-01,1703.23,1169
2010-08-01,1796.93,1235
2010-09-01,1881.48,1294
2010-10-01,1955.48,1346.75
2010-11-01,2008.84,1383.5
2010-12-01,2036.57,1405.5
2011-01-01,1913.53,1327
2011-02-01,2024.79,1411
2011-03-01,2046.26,1439
2011-04-01,2168.13,1535.5
2011-05-01,2155.4,1533
2011-06-01,2116.48,1504.25
2011-07-01,2268.58,1613.5
2011-08-01,2558.65,1825
2011-09-01,2268,1620
2011-10-01,2415.97,1722
2011-11-01,2451.38,1746
2011-12-01,2155.65,1531
2012-01-01,2445.09,1744
2012-02-01,2469.15,1770
2012-03-01,2302.56,1662.5
2012-04-01,2280.38,1651.25
2012-05-01,2153.16,1558
2012-06-01,2212.32,1598.5
2012-07-01,2249.71,1622
2012-08-01,2273.28,1648.5
2012-09-01,2438.45,1776
2012-10-01,2360.19,1719
2012-11-01,2381.88,1726
2012-12-01,2293.98,1657.5
2013-01-01,2295.69,1664.75
2013-02-01,2173.07,1588.5
2013-03-01,2181.61,1598.25
2013-04-01,2006.65,1469
2013-05-01,1902.1,1394.5
2013-06-01,1621.12,1192
2013-07-01,1787.72,1314.5
2013-08-01,1894.07,1394.75
2013-09-01,1800.06,1326.5
2013-10-01,1800.64,1324
2013-11-01,1707.84,1253
2013-12-01,1641.73,1204.5
2014-01-01,1698.86,1251
2014-02-01,1794.75,1326.5
2014-03-01,1736.11,1291.75
2014-04-01,1726.59,1288.5
2014-05-01,1669.42,1250.5
2014-06-01,1752.9,1315
2014-07-01,1713.24,1285.25
2014-08-01,1717.76,1285.75
2014-09-01,1624.03,1216.5
2014-10-01,1557.77,1164.25
2014-11-01,1590.8,1182.75
2014-12-01,1631.72,1206
2015-01-01,1712.68,1260.25
2015-02-01,1642.54,1214
2015-03-01,1596.52,1187
2015-04-01,1585.08,1180.25
2015-05-01,1591.71,1191.4
2015-06-01,1558.6,1171
2015-07-01,1461.97,1098.4
2015-08-01,1512.96,1135
2015-09-01,1487.19,1114
2015-10-01,1526.18,1142.35
2015-11-01,1420.82,1061.9
2015-12-01,1436,1069.25
2016-01-01,1494.81,1114.7
2016-02-01,1503.48,1122
2016-03-01,1654.16,1240
2016-04-01,1634.57,1230.85
2016-05-01,1609.54,1217.5
2016-06-01,1740.55,1320.6
2016-07-01,1791.9,1357.5
2016-08-01,1729.74,1311.4
2016-09-01,1733.3,1317.1
2016-10-01,1672.85,1273.1
2016-11-01,1544.85,1173.9
2016-12-01,1515.64,1151.7
2017-01-01,1584.51,1211.4
2017-02-01,1635.09,1253.9
2017-03-01,1630.31,1251.2
2017-04-01,1647.52,1268.3
2017-05-01,1655.47,1275.4
2017-06-01,1611.26,1242.3
2017-07-01,1652.87,1273.4
2017-08-01,1710.93,1322.2
2017-09-01,1653.54,1284.8
2017-10-01,1636.4,1270.5
2017-11-01,1651.41,1282.15
2017-12-01,1671.19,1296.5
2018-01-01,1722.17,1343.35
2018-02-01,1684.7,1320.3
2018-03-01,1685.32,1323.9
2018-04-01,1669.01,1316.25
2018-05-01,1646.32,1303.5
2018-06-01,1576.94,1250.55
2018-07-01,1537.41,1219.2
2018-08-01,1520.63,1206.85
2018-09-01,1488.84,1183.5
2018-10-01,1529.43,1217.7
2018-11-01,1537.77,1220.45
2018-12-01,1620.01,1281.65
2019-01-01,1669,1322.5
2019-02-01,1666.09,1325.45
2019-03-01,1613.94,1291.15
2019-04-01,1597.44,1285.15
2019-05-01,1607.04,1296
2019-06-01,1752.37,1413.2
2019-07-01,1771.02,1430.55
2019-08-01,1889.87,1526.55
2019-09-01,1840.16,1487.6
2019-10-01,1858.9,1506.4
2019-11-01,1798.59,1456.35
2019-12-01,1882.43,1523
2020-01-01,1946.03,1580.85
2020-02-01,1997.16,1626.35
2020-03-01,1975.32,1604.65
2020-04-01,2127.05,1716.75
2020-05-01,2138.08,1725.65
2020-06-01,2181.5,1770.7
2020-07-01,2417.28,1971.68
2020-08-01,2407.95,1970.5
2020-09-01,2310.56,1893.9
2020-10-01,2293.48,1879.9
2020-11-01,2173.21,1779.86
2020-12-01,2312.02,1895.1
2021-01-01,2245.54,1849.7
2021-02-01,2088.39,1728.8
2021-03-01,2056.57,1715.24
2021-04-01,2103.56,1767.7
2021-05-01,2247.59,1904.74
2021-06-01,2071,1771.6
2021-07-01,2111.64,1814.12
2021-08-01,2108.14,1815.8
2021-09-01,2034.21,1756.66
2021-10-01,2049.7,1783.9
2021-11-01,2029.88,1775.92
2021-12-01,2082.78,1828.6
2022-01-01,2029.62,1796.12
2022-02-01,2128.78,1900.7
2022-03-01,2158.11,1953.04
2022-04-01,2100.96,1911.7
2022-05-01,2007.97,1847.26
2022-06-01,1961.05,1829.338
2022-07-01,1893.61,1766.431
2022-08-01,1833.31,1708.58
2022-09-01,1777.14,1660.88
2022-10-01,1740.12,1632.38
2022-11-01,1887.11,1768.61
2022-12-01,1952.03,1824.323
2023-01-01,2047.66,1928.12
2023-02-01,1929.04,1826.74
2023-03-01,2071.96,1969.546
2023-04-01,2084.16,1990.6
2023-05-01,2053.63,1965.2
2023-06-01,1998.27,1919.569
2023-07-01,2040.95,1964.339
2023-08-01,2007.72,1939.828
2023-09-01,1907.64,1848.49
2023-10-01,2049.48,1984.011
2023-11-01,2071.97,2001.9
2023-12-01,2137.19,2062.923
2024-01-01,2100.33,2039.154
2024-02-01,2093.26,2044.2
2024-03-01,2269.49,2231.555
2024-04-01,2315.71,2285.989
2024-05-01,2352.88,2327.284
2024-06-01,2352.31,2326.718
2024-07-01,2471.83,2447.357
2024-08-01,2525.91,2503.38
2024-09-01,2655.84,2634.765
2024-10-01,2763.18,2746.702
2024-11-01,2669.78,2651.22
2024-12-01,2642.98,2624.603
2025-01-01,2798.2,2798.197
2025-02-01,2858.05,2858.049
2025-03-01,2904.82,2904.815
