Date,PMI
1996-01,46.2
1995-12,45.9
1995-11,46.7
1995-10,48.1
1995-09,47.1
1995-08,50.7
1995-07,45.9
1995-06,46.7
1995-05,51.5
1995-04,52.1
1995-03,55.1
1995-02,57.4
1995-01,56.1
1994-12,59.2
1994-11,59.4
1994-10,59
1994-09,58
1994-08,58.5
1994-07,58.8
1994-06,58.2
1994-05,57.4
1994-04,56.9
1994-03,56.5
1994-02,56
1994-01,55.6
1993-12,53.8
1993-11,53.4
1993-10,50.8
1993-09,50.7
1993-08,50.2
1993-07,49.6
1993-06,51.2
1993-05,50.2
1993-04,53.5
1993-03,55.2
1993-02,55.8
1993-01,54.2
1992-12,53.6
1992-11,50.3
1992-10,49.7
1992-09,53.4
1992-08,53.9
1992-07,53.6
1992-06,55.7
1992-05,52.6
1992-04,54.6
1992-03,52.7
1992-02,47.3
1992-01,46.8
1991-12,49.5
1991-11,53.1
1991-10,54.9
1991-09,52.9
1991-08,50.6
1991-07,50.3
1991-06,44.5
1991-05,42.8
1991-04,40.7
1991-03,39.4
1991-02,39.2
1991-01,40.8
1990-12,41.3
1990-11,43.2
1990-10,44.5
1990-09,46.1
1990-08,46.6
1990-07,49.2
1990-06,49.5
1990-05,50
1990-04,49.9
1990-03,49.1
1990-02,47.2
1990-01,47.4
1989-12,46.8
1989-11,46.8
1989-10,46
1989-09,45.1
1989-08,45.9
1989-07,47.3
1989-06,49.3
1989-05,52.2
1989-04,51.5
1989-03,54.1
1989-02,54.7
1989-01,56
1988-12,55.6
1988-11,55.4
1988-10,54.5
1988-09,56
1988-08,58.2
1988-07,59.3
1988-06,55.5
1988-05,55.8
1988-04,54.6
1988-03,56.2
1988-02,57.5
1988-01,61
1987-12,58.8
1987-11,60.7
1987-10,60
1987-09,59.3
1987-08,57.5
1987-07,57.4
1987-06,57.2
1987-05,55.5
1987-04,55
1987-03,52.6
1987-02,54.9
1987-01,50.5
1986-12,51.2
1986-11,51.2
1986-10,52.4
1986-09,52.6
1986-08,48
1986-07,50.5
1986-06,53.4
1986-05,49.7
1986-04,51
1986-03,51
1986-02,51.2
1986-01,50.7
1985-12,52
1985-11,50.9
1985-10,49.9
1985-09,47.7
1985-08,47.9
1985-07,47.8
1985-06,47.1
1985-05,48.2
1985-04,47.8
1985-03,49.9
1985-02,50.3
1985-01,50.6
1984-12,50.3
1984-11,50.8
1984-10,50
1984-09,53
1984-08,56.1
1984-07,58.1
1984-06,58.6
1984-05,61
1984-04,58.9
1984-03,61.3
1984-02,60.5
1984-01,69.9
1983-12,66
1983-11,64.4
1983-10,62.5
1983-09,63.1
1983-08,63.6
1983-07,57.5
1983-06,56.1
1983-05,54.2
1983-04,53.9
1983-03,54.4
1983-02,46
1983-01,42.8
1982-12,39.2
1982-11,39.4
1982-10,38.8
1982-09,38.3
1982-08,38.4
1982-07,38.3
1982-06,35.5
1982-05,37.8
1982-04,36.8
1982-03,38.3
1982-02,38.2
1982-01,37.8
1981-12,36.1
1981-11,40
1981-10,42.5
1981-09,48.3
1981-08,46.7
1981-07,50.7
1981-06,53.5
1981-05,51.6
1981-04,49.6
1981-03,48.8
1981-02,49.2
1981-01,53
1980-12,58.2
1980-11,55.5
1980-10,50.1
1980-09,45.5
1980-08,35
1980-07,30.3
1980-06,29.4
1980-05,37.4
1980-04,43.6
1980-03,50.2
1980-02,46.2
1980-01,44.8
1979-12,48
1979-11,49
1979-10,49.6
1979-09,49.5
1979-08,51.3
1979-07,52.7
1979-06,54.4
1979-05,56.2
1979-04,57.7
1979-03,58.2
1979-02,58.5
1979-01,59.4
1978-12,61.3
1978-11,60.1
1978-10,60.5
1978-09,60.3
1978-08,62.2
1978-07,60.5
1978-06,60.2
1978-05,57.7
1978-04,55
1978-03,55.9
1978-02,57.4
1978-01,59.8
1977-12,56.1
1977-11,55.4
1977-10,53.9
1977-09,54.9
1977-08,57.7
1977-07,56.8
1977-06,59.7
1977-05,56.9
1977-04,58.4
1977-03,55
1977-02,54.8
1977-01,56.6
1976-12,51.7
1976-11,53.5
1976-10,53.6
1976-09,54.5
1976-08,55.9
1976-07,58.2
1976-06,58.8
1976-05,60.6
1976-04,58.4
1976-03,61.5
1976-02,58.8
1976-01,54.9
1975-12,54.5
1975-11,55.5
1975-10,54.4
1975-09,51.4
1975-08,47.2
1975-07,45.1
1975-06,41.2
1975-05,37.5
1975-04,31.6
1975-03,34.4
1975-02,30.7
1975-01,30.9
1974-12,37.9
1974-11,42.7
1974-10,46.2
1974-09,52.9
1974-08,54.8
1974-07,54.7
1974-06,55.7
1974-05,59.9
1974-04,61.8
1974-03,58.6
1974-02,62.1
1974-01,63.6
1973-12,68.1
1973-11,66.2
1973-10,63.5
1973-09,62.7
1973-08,57.8
1973-07,65
1973-06,64.8
1973-05,67.7
1973-04,69.6
1973-03,69.6
1973-02,72.1
1973-01,70.5
1972-12,69.9
1972-11,67
1972-10,65.1
1972-09,61.7
1972-08,60.1
1972-07,58.6
1972-06,61.4
1972-05,59.3
1972-04,59.8
1972-03,60.6
1972-02,59.6
1972-01,57.6
1971-12,52.3
1971-11,55
1971-10,55.1
1971-09,53.6
1971-08,54.4
1971-07,53.8
1971-06,54.2
1971-05,54.5
1971-04,51.2
1971-03,54.8
1971-02,47.9
1971-01,45.4
1970-12,39.7
1970-11,42.4
1970-10,44.1
1970-09,47.3
1970-08,49.5
1970-07,51.1
1970-06,47.2
1970-05,45
1970-04,46.9
1970-03,47.4
1970-02,48.7
1970-01,52
